0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,6,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,4,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,1,3,＃,＃,＃,2,＃,＃,＃,＃,2
＃,＃,2,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃,＃
＃,2,＃,＃,＃,＃,＃,＃,2,＃,＃,＃,＃,＃,＃
＃,＃,＃,＃,＃,1,2,2,＃,＃,＃,2,＃,＃,＃
2.0,＃,＃,＃,2,4,＃,＃,＃,＃,2,＃,3,＃,＃
＃,1,2,2,＃,1,＃,＃,2,＃,＃,＃,＃,＃,2
＃,＃,＃,＃,＃,＃,2,2,＃,＃,＃,2,＃,＃,＃
2.0,2.0,＃,＃,2,＃,＃,1,＃,＃,＃,＃,＃,＃,＃
＃,＃,2,2,＃,2,＃,＃,2,2,＃,2,＃,＃,2
1.0,2.0,＃,＃,4,＃,2,2,＃,＃,＃,＃,＃,＃,＃
4.0,＃,＃,2,2,＃,＃,＃,＃,＃,＃,＃,＃,＃,2
＃,＃,2,＃,＃,2,2,＃,2,＃,＃,2,2,＃,＃
2.0,2.0,＃,＃,＃,＃,＃,2,＃,＃,＃,＃,＃,＃,2
＃,＃,＃,3,2,＃,＃,＃,2,＃,＃,3,4,＃,＃
2.0,2.0,2.0,＃,2,2,2,＃,＃,1,＃,1,＃,＃,＃
＃,＃,＃,2,＃,＃,＃,2,＃,＃,＃,＃,＃,＃,2
＃,＃,＃,＃,＃,2,＃,2,2,＃,＃,2,＃,＃,＃
2.0,2.0,2.0,2.0,2.0,4.0,2.0,＃,＃,2,＃,＃,＃,＃,＃
＃,＃,＃,1,＃,＃,＃,＃,4,＃,＃,4,＃,＃,2
2.0,2.0,2.0,4.0,2.0,2.0,2.0,＃,2,＃,＃,1,＃,＃,＃
＃,＃,＃,1,＃,＃,＃,2,＃,＃,＃,＃,＃,＃,2
＃,＃,＃,＃,＃,＃,＃,＃,＃,6,＃,2,4,＃,＃
2.0,2.0,2.0,4.0,2.0,1.0,＃,4,2,2,＃,＃,1,＃,＃
＃,＃,＃,1,＃,＃,2,1,＃,＃,＃,＃,3,＃,＃
＃,＃,＃,＃,＃,＃,＃,4,＃,＃,＃,＃,＃,＃,2
2.0,2.0,2.0,＃,＃,3,＃,1,2,＃,＃,2,＃,＃,＃
＃,＃,＃,2,2,＃,2,4,＃,＃,＃,＃,＃,＃,2
＃,＃,＃,＃,＃,2,＃,2,＃,＃,＃,＃,＃,＃,＃
2.0,2.0,2.0,＃,2,＃,＃,＃,＃,＃,＃,2,＃,＃,＃
＃,＃,＃,2,＃,＃,2,2,2,＃,＃,＃,＃,＃,＃
＃,＃,2,＃,＃,＃,＃,＃,1,2,＃,＃,＃,＃,2
2.0,2.0,＃,＃,2,2,＃,1,＃,6,＃,＃,＃,＃,＃
＃,＃,＃,2,＃,＃,2,2,2,2,＃,2,＃,＃,＃
2.0,2.0,2.0,＃,＃,2,＃,＃,＃,1,＃,＃,＃,＃,2
＃,＃,＃,2,2,＃,2,2,＃,6,＃,＃,2,＃,＃
2.0,2.0,2.0,＃,1,2,＃,4,4,＃,＃,2,＃,＃,2
＃,＃,＃,＃,3,＃,2,1,＃,＃,＃,＃,＃,＃,＃
2.0,2.0,2.0,2.0,1.0,＃,＃,4,2,＃,＃,＃,＃,2,＃
